movie_id,title,release_year,budget,revenue,vote_average,collection_id
1399101,First Man to the Moon,1920,0,0,0.0,
1399099,The Restaurant,1920,0,0,0.0,
1399096,Poker,1920,0,0,0.0,
1398206,Through the Earth,1920,0,0,0.0,
10098,The Kid,1921,250000,2500000,8.2,
707496,Fool's Paradise,1921,291367,901937,5.5,
1422459,Eden and Return,1921,0,0,0.0,
1420343,Moongold,1921,0,0,0.0,
1418968,Forbidden Love,1921,0,0,0.0,
1418964,Ten Nights in a Bar Room,1921,0,0,0.0,
1418559,How I Became Krazy,1921,0,0,0.0,
1416931,The Sky Ranger,1921,0,0,0.0,
1416385,Mother Eternal,1921,0,0,0.0,
1404027,Her Lord and Master,1921,0,0,0.0,
1403834,Worlds Apart,1921,0,0,0.0,
1403774,What's Your Reputation Worth?,1921,0,0,0.0,
1399664,After Midnight,1921,0,0,0.0,
1399135,Cartoonland,1921,0,0,0.0,
1396992,The Marriage of William Ashe,1921,0,0,0.0,
1396986,Big Game,1921,0,0,0.0,
1395836,Belphegor the Mountebank,1921,0,0,0.0,
1395834,The Great Reward,1921,0,0,0.0,
1395831,The Prince and the Beggarmaid,1921,0,0,0.0,
1395807,Such a Little Queen,1921,0,0,0.0,
1395804,The Lady from Longacre,1921,0,0,0.0,
1393583,The Lure of Jade,1921,0,0,0.0,
1390534,The Duke of Chimney Butte,1921,0,0,0.0,
1388798,Diane of Star Hollow,1921,0,0,0.0,
1388407,Know Your Men,1921,0,0,0.0,
35227,Foolish Wives,1922,1100000,400200,6.6,
889971,A Dangerous Adventure,1922,175000,142000,0.0,
175518,Tommy Tucker's Tooth,1922,0,500,4.731,
1422448,Boy Crazy,1922,0,0,0.0,
1422443,The Understudy,1922,0,0,0.0,
1422440,Up and at 'Em,1922,0,0,0.0,
1416260,The Lane That Had No Turning,1922,0,0,0.0,
1415447,Between Two Husbands,1922,0,0,0.0,
1406363,Rose o' the Sea,1922,0,0,0.0,
1405655,A Winter's Tale,1922,0,0,0.0,
1403770,Jan of the Big Snows,1922,0,0,0.0,
1402983,Allah's Blood,1922,0,0,0.0,
1400935,The Mosquito,1922,0,0,0.0,
1399912,Girl Without Nerves,1922,0,0,0.0,
1399658,Prejudice,1922,0,0,0.0,
1399388,The Broken Silence,1922,0,0,0.0,
1398872,Superstition,1922,0,0,0.0,
1397056,Her Majesty,1922,0,0,0.0,
1396497,Silver Spurs,1922,0,0,0.0,
